Dashboard;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2012";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2012";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2012";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2012";"Nederland";"4,7";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2013";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2013";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2013";"Nederland";"4,6";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2013";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2013";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2013";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2013";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2014";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2014";"Nederland";"4,5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2014";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2014";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2014";"Nederland";"4,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2014";"Nederland";"4,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2014";"Nederland";"4,4";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2014";"Nederland";"4,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2014";"Nederland";"4,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2014";"Nederland";"4,3";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2014";"Nederland";"4,3";"ECB, bewerking www.berekenhet.nl";"";
